supporter_id,supporter_type,display_name,organization_name,first_name,last_name,relationship_type,region,country,email,phone,status,created_at,first_donation_date,acquisition_channel,donation_count,monetary_donation_count,non_monetary_donation_count,total_monetary_amount,total_resolved_value,avg_monetary_amount,first_donation_date_actual,last_donation_date,recurring_donation_count,campaign_count,channel_diversity,donation_type_diversity,social_referral_donation_count,donation_active_days,donation_recency_days,recurring_donation_share,donation_frequency_per_365d,total_allocated_amount,allocation_safehouse_diversity,allocation_program_diversity,in_kind_item_line_count,in_kind_quantity_total,in_kind_category_diversity,in_kind_estimated_value_total,supporter_tenure_days,has_any_donation,label_lapsed_180d
1,SocialMediaAdvocate,Mila Alvarez,,Mila,Alvarez,Local,Luzon,Philippines,mila-alvarez@smart.com.ph,+63 997 578 1887,Active,2022-01-01,2023-07-02,SocialMedia,12.0,7.0,5.0,7567.969999999999,9000.029999999999,1081.1385714285714,2023-03-25,2026-02-19,12.0,2.0,4.0,3.0,3.0,1062.0,10.0,1.0,4.124293785310734,8540.11,9.0,5.0,4.0,62.0,3.0,1162.86,1520,True,0
2,Volunteer,Aria Brown,,Aria,Brown,Local,Mindanao,Philippines,aria-brown@pldt.net.ph,+63 927 354 4139,Active,2022-01-06,2023-09-25,SocialMedia,4.0,2.0,2.0,3480.08,3877.36,1740.04,2023-03-08,2025-05-08,0.0,0.0,4.0,3.0,1.0,792.0,297.0,0.0,1.8434343434343436,3877.37,6.0,3.0,1.0,12.0,1.0,388.92,1515,True,1
3,MonetaryDonor,Noah Chen,,Noah,Chen,Local,Luzon,Philippines,noah-chen@globe.com.ph,+63 917 553 2604,Active,2022-01-11,2023-06-25,SocialMedia,16.0,9.0,7.0,9225.71,12448.13,1025.0788888888887,2023-02-22,2025-09-13,16.0,3.0,4.0,4.0,1.0,934.0,169.0,1.0,6.252676659528908,12445.41,8.0,6.0,8.0,100.0,5.0,5514.93,1510,True,0
4,MonetaryDonor,Liam Diaz,,Liam,Diaz,PartnerOrganization,Mindanao,Philippines,liam-diaz@globe.com.ph,+63 945 516 8956,Active,2022-01-16,2026-03-01,Church,11.0,8.0,3.0,8694.73,9934.62,1086.84125,2023-03-15,2026-03-01,11.0,3.0,4.0,2.0,3.0,1082.0,0.0,1.0,3.710720887245841,9847.12,7.0,6.0,4.0,50.0,3.0,813.1,1505,True,0
5,InKindDonor,Emma Evans,,Emma,Evans,PartnerOrganization,Mindanao,Philippines,emma-evans@yahoo.com.ph,+63 995 371 8454,Active,2022-01-21,2024-01-18,Website,5.0,4.0,1.0,4738.58,4751.17,1184.645,2023-12-20,2025-10-02,0.0,1.0,3.0,2.0,1.0,652.0,150.0,0.0,2.799079754601227,4751.16,4.0,3.0,0.0,0.0,0.0,0.0,1500,True,0
6,MonetaryDonor,Olivia Ford,,Olivia,Ford,International,Visayas,USA,olivia-ford@yahoo.com,+1 (206) 358-4111,Active,2022-01-26,2023-03-22,WordOfMouth,9.0,7.0,2.0,8761.23,9574.27,1251.6042857142857,2023-03-22,2025-11-23,0.0,2.0,5.0,3.0,2.0,977.0,98.0,0.0,3.3623336745138177,8457.86,9.0,4.0,1.0,8.0,1.0,618.13,1495,True,0
7,MonetaryDonor,Ethan Garcia,,Ethan,Garcia,International,Mindanao,USA,ethan-garcia@aol.com,+1 (212) 251-8811,Active,2022-01-31,2023-10-19,Event,11.0,5.0,6.0,4124.47,6003.96,824.894,2023-01-27,2025-12-28,11.0,2.0,4.0,5.0,3.0,1066.0,63.0,1.0,3.766416510318949,5609.54,7.0,6.0,5.0,51.0,4.0,3007.24,1490,True,0
8,InKindDonor,Isla Hernandez,,Isla,Hernandez,Local,Mindanao,Philippines,isla-hernandez@yahoo.com.ph,+63 953 170 2113,Active,2022-02-05,2023-11-06,Church,13.0,8.0,5.0,8238.62,9064.84,1029.8275,2023-03-22,2025-12-22,13.0,2.0,5.0,4.0,3.0,1006.0,69.0,1.0,4.716699801192843,8796.67,8.0,6.0,2.0,38.0,2.0,1977.65,1485,True,0
9,Volunteer,Sophia Ibrahim,,Sophia,Ibrahim,Local,Luzon,Philippines,sophia-ibrahim@globe.com.ph,+63 949 708 1651,Active,2022-02-10,2024-11-04,PartnerReferral,9.0,6.0,3.0,9474.92,10315.75,1579.1533333333334,2023-03-18,2026-02-03,0.0,2.0,4.0,4.0,4.0,1053.0,26.0,0.0,3.11965811965812,9686.99,6.0,4.0,2.0,38.0,2.0,1669.44,1480,True,0
10,Volunteer,Lucas Jones,,Lucas,Jones,International,Luzon,Singapore,lucas-jones@gmail.com,+65 8785 6147,Active,2022-02-15,2024-10-18,Event,6.0,2.0,4.0,2353.84,3458.54,1176.92,2023-08-22,2025-11-09,0.0,1.0,3.0,3.0,1.0,810.0,112.0,0.0,2.703703703703704,3353.54,4.0,4.0,4.0,89.0,3.0,1705.21,1475,True,0
11,MonetaryDonor,Maya Kim,,Maya,Kim,International,Luzon,USA,maya-kim@gmail.com,+1 (469) 274-1152,Active,2022-02-20,2024-08-20,SocialMedia,4.0,2.0,2.0,3432.5,4395.62,1716.25,2023-03-18,2025-12-16,0.0,0.0,2.0,2.0,3.0,1004.0,75.0,0.0,1.454183266932271,4055.6,3.0,3.0,2.0,11.0,2.0,146.61,1470,True,0
12,InKindDonor,Ella Lopez,,Ella,Lopez,PartnerOrganization,Mindanao,Philippines,ella-lopez@globe.com.ph,+63 929 371 3170,Active,2022-02-25,2023-02-24,Website,7.0,4.0,3.0,3511.48,5002.38,877.87,2023-02-24,2025-10-13,0.0,1.0,4.0,3.0,2.0,962.0,139.0,0.0,2.655925155925156,4504.34,8.0,6.0,3.0,43.0,3.0,1204.76,1465,True,0
13,PartnerOrganization,Hope Group,Hope Group,,,Local,Luzon,Philippines,hope-group@hopegroup.ph,+63 976 726 9666,Active,2022-03-02,2023-02-10,PartnerReferral,7.0,4.0,3.0,2939.58,3256.82,734.895,2023-02-10,2026-01-01,0.0,1.0,4.0,3.0,1.0,1056.0,59.0,0.0,2.419507575757576,3256.82,6.0,5.0,2.0,45.0,2.0,2215.8,1460,True,0
14,MonetaryDonor,Owen Nguyen,,Owen,Nguyen,Local,Mindanao,Philippines,owen-nguyen@globe.com.ph,+63 966 218 2753,Active,2022-03-07,2023-12-25,WordOfMouth,1.0,0.0,1.0,0.0,27.12,0.0,2023-12-25,2023-12-25,0.0,1.0,1.0,1.0,0.0,0.0,797.0,0.0,365.0,27.12,2.0,2.0,0.0,0.0,0.0,0.0,1455,True,1
15,SkillsContributor,Zoe Ortiz,,Zoe,Ortiz,Local,Luzon,Philippines,zoe-ortiz@pldt.net.ph,+63 955 803 5325,Active,2022-03-12,2024-09-15,Website,2.0,2.0,0.0,925.66,925.66,462.83,2024-06-16,2024-09-15,0.0,1.0,2.0,1.0,0.0,91.0,532.0,0.0,8.021978021978022,925.66,3.0,3.0,0.0,0.0,0.0,0.0,1450,True,1
16,InKindDonor,Iris Patel,,Iris,Patel,PartnerOrganization,Luzon,Philippines,iris-patel@smart.com.ph,+63 967 145 1058,Active,2022-03-17,2025-07-15,Website,5.0,2.0,3.0,1718.04,2668.23,859.02,2023-09-18,2025-11-03,0.0,2.0,4.0,2.0,1.0,777.0,118.0,0.0,2.348777348777349,2510.72,4.0,4.0,5.0,92.0,4.0,3328.8,1445,True,0
17,MonetaryDonor,Hana Quinn,,Hana,Quinn,PartnerOrganization,Luzon,Philippines,hana-quinn@smart.com.ph,+63 947 822 8007,Active,2022-03-22,2024-12-29,Website,4.0,1.0,3.0,813.27,1406.67,813.27,2023-05-23,2025-03-15,0.0,2.0,1.0,3.0,0.0,662.0,351.0,0.0,2.205438066465257,1406.68,4.0,4.0,2.0,15.0,2.0,1602.99,1440,True,1
18,InKindDonor,Theo Reed,,Theo,Reed,PartnerOrganization,Luzon,Philippines,theo-reed@globe.com.ph,+63 946 136 7049,Active,2022-03-27,2024-10-09,WordOfMouth,5.0,3.0,2.0,2891.73,3419.5799999999995,963.91,2023-05-08,2026-01-20,0.0,2.0,3.0,3.0,2.0,988.0,40.0,0.0,1.847165991902834,3238.88,3.0,4.0,1.0,18.0,1.0,776.36,1435,True,0
19,Volunteer,Nora Singh,,Nora,Singh,Local,Luzon,Philippines,nora-singh@yahoo.com.ph,+63 979 315 5088,Active,2022-04-01,2024-12-02,SocialMedia,8.0,3.0,5.0,2761.38,3765.27,920.46,2023-01-13,2025-11-12,0.0,2.0,3.0,4.0,0.0,1034.0,109.0,0.0,2.8239845261121856,3763.86,7.0,4.0,2.0,31.0,1.0,452.0,1430,True,0
20,Volunteer,Ezra Taylor,,Ezra,Taylor,International,Luzon,Canada,ezra-taylor@gmail.com,+1 (347) 358-4878,Active,2022-04-06,2023-03-23,PartnerReferral,17.0,11.0,6.0,11013.53,14240.29,1001.23,2023-02-03,2025-05-11,17.0,4.0,5.0,4.0,2.0,828.0,294.0,1.0,7.493961352657005,12913.64,8.0,6.0,7.0,126.0,2.0,4429.07,1425,True,1
21,SocialMediaAdvocate,June Usman,,June,Usman,PartnerOrganization,Mindanao,Philippines,june-usman@yahoo.com.ph,+63 953 854 6442,Active,2022-04-11,2023-07-25,PartnerReferral,7.0,2.0,5.0,2565.61,2955.69,1282.805,2023-06-13,2025-12-30,0.0,3.0,4.0,3.0,2.0,931.0,61.0,0.0,2.744360902255639,2955.6800000000003,4.0,4.0,1.0,18.0,1.0,883.78,1420,True,0
22,SkillsContributor,Nico Vasquez,,Nico,Vasquez,International,Luzon,USA,nico-vasquez@gmail.com,+1 (415) 918-2771,Active,2022-04-16,2025-11-13,WordOfMouth,5.0,2.0,3.0,2188.82,4326.73,1094.41,2025-01-08,2026-02-11,0.0,0.0,2.0,2.0,2.0,399.0,18.0,0.0,4.573934837092732,4326.73,5.0,4.0,3.0,42.0,3.0,1984.69,1415,True,0
23,MonetaryDonor,Ria White,,Ria,White,Local,Luzon,Philippines,ria-white@smart.com.ph,+63 979 412 4728,Active,2022-04-21,2024-11-21,Website,3.0,1.0,2.0,600.64,636.53,600.64,2023-12-15,2025-03-26,0.0,2.0,3.0,3.0,1.0,467.0,340.0,0.0,2.3447537473233404,636.53,3.0,3.0,0.0,0.0,0.0,0.0,1410,True,1
24,MonetaryDonor,Sean Xu,,Sean,Xu,Local,Visayas,Philippines,sean-xu@yahoo.com.ph,+63 967 459 9346,Active,2022-04-26,2023-11-08,SocialMedia,9.0,4.0,5.0,2940.26,4168.88,735.0649999999999,2023-07-02,2025-10-14,9.0,1.0,5.0,5.0,1.0,835.0,138.0,1.0,3.934131736526946,4158.42,6.0,4.0,1.0,10.0,1.0,779.49,1405,True,0
25,MonetaryDonor,Tina Young,,Tina,Young,Local,Mindanao,Philippines,tina-young@yahoo.com.ph,+63 966 282 5349,Active,2022-05-01,2025-12-02,Church,17.0,9.0,8.0,8901.7,11540.99,989.077777777778,2023-06-02,2026-02-14,17.0,3.0,5.0,3.0,1.0,988.0,15.0,1.0,6.280364372469635,11540.99,8.0,6.0,7.0,96.0,6.0,5819.87,1400,True,0
26,MonetaryDonor,Margo Zhang,,Margo,Zhang,Local,Visayas,Philippines,margo-zhang@smart.com.ph,+63 951 623 2894,Active,2022-05-06,2024-11-20,WordOfMouth,12.0,8.0,4.0,7061.59,7109.62,882.69875,2023-08-11,2026-02-24,12.0,3.0,4.0,4.0,3.0,928.0,5.0,1.0,4.719827586206897,6975.38,6.0,5.0,0.0,0.0,0.0,0.0,1395,True,0
27,MonetaryDonor,Jules Abe,,Jules,Abe,Local,Visayas,Philippines,jules-abe@yahoo.com.ph,+63 939 925 9821,Active,2022-05-11,2024-08-03,WordOfMouth,6.0,3.0,3.0,4056.77,4653.04,1352.2566666666664,2023-01-16,2026-02-18,0.0,1.0,3.0,4.0,2.0,1129.0,11.0,0.0,1.9397697077059344,4653.04,5.0,5.0,1.0,3.0,1.0,135.87,1390,True,0
29,Volunteer,Seth Clark,,Seth,Clark,PartnerOrganization,Luzon,Philippines,seth-clark@smart.com.ph,+63 977 512 5844,Active,2022-05-21,2025-09-28,Event,6.0,3.0,3.0,3963.01,4837.31,1321.003333333333,2023-03-04,2025-10-08,0.0,2.0,3.0,3.0,2.0,949.0,144.0,0.0,2.3076923076923075,4837.31,6.0,5.0,2.0,38.0,2.0,937.63,1380,True,0
30,InKindDonor,Rina Davis,,Rina,Davis,International,Luzon,USA,rina-davis@gmail.com,+1 (415) 830-5930,Active,2022-05-26,2025-07-29,SocialMedia,2.0,2.0,0.0,4713.84,4713.84,2356.92,2024-11-13,2025-07-29,0.0,1.0,2.0,1.0,1.0,258.0,215.0,0.0,2.8294573643410854,4713.84,3.0,2.0,0.0,0.0,0.0,0.0,1375,True,1
31,MonetaryDonor,Jon Edwards,,Jon,Edwards,Local,Mindanao,Philippines,jon-edwards@eastern.com.ph,+63 951 770 6279,Active,2022-05-31,2023-12-26,Website,20.0,14.0,6.0,8006.13,10003.36,571.8664285714286,2023-03-01,2026-02-11,20.0,3.0,5.0,4.0,5.0,1078.0,18.0,1.0,6.771799628942486,9902.85,9.0,5.0,5.0,86.0,5.0,2752.28,1370,True,0
32,InKindDonor,Luz Fisher,,Luz,Fisher,Local,Luzon,Philippines,luz-fisher@globe.com.ph,+63 991 186 5649,Active,2022-06-05,2023-02-02,Event,8.0,4.0,4.0,3963.37,5685.9,990.8425,2023-01-22,2026-01-18,0.0,2.0,3.0,3.0,0.0,1092.0,42.0,0.0,2.673992673992674,5279.16,6.0,5.0,2.0,58.0,2.0,1238.64,1365,True,0
33,InKindDonor,Tara Green,,Tara,Green,Local,Visayas,Philippines,tara-green@globe.com.ph,+63 992 417 4680,Active,2022-06-10,2023-09-11,PartnerReferral,7.0,5.0,2.0,3442.3,3794.98,688.46,2023-07-25,2025-04-01,0.0,2.0,3.0,3.0,2.0,616.0,334.0,0.0,4.1477272727272725,3364.28,6.0,4.0,1.0,5.0,1.0,1045.38,1360,True,1
34,SocialMediaAdvocate,Mia Hill,,Mia,Hill,Local,Luzon,Philippines,mia-hill@eastern.com.ph,+63 917 566 7790,Active,2022-06-15,2025-05-07,Church,7.0,2.0,5.0,1326.59,2428.81,663.295,2023-10-31,2025-05-07,7.0,1.0,3.0,4.0,0.0,554.0,298.0,1.0,4.611913357400722,2421.89,5.0,4.0,2.0,18.0,2.0,200.03,1355,True,1
35,SocialMediaAdvocate,Jose Inoue,,Jose,Inoue,International,Visayas,USA,jose-inoue@gmail.com,+1 (415) 871-1090,Active,2022-06-20,2024-03-27,SocialMedia,10.0,6.0,4.0,7546.38,8547.74,1257.73,2023-06-12,2025-12-21,0.0,2.0,4.0,3.0,2.0,923.0,70.0,0.0,3.954496208017335,7639.67,6.0,6.0,4.0,60.0,3.0,1590.32,1350,True,0
36,SocialMediaAdvocate,Lara Johnson,,Lara,Johnson,PartnerOrganization,Mindanao,Philippines,lara-johnson@globe.com.ph,+63 953 923 9486,Active,2022-06-25,2023-04-16,WordOfMouth,6.0,4.0,2.0,3622.46,4060.64,905.615,2023-01-15,2024-06-15,0.0,2.0,4.0,3.0,0.0,517.0,624.0,0.0,4.235976789168278,4060.65,6.0,5.0,3.0,66.0,3.0,1540.03,1345,True,1
37,InKindDonor,Rae Klein,,Rae,Klein,PartnerOrganization,Visayas,Philippines,rae-klein@globe.com.ph,+63 920 783 9702,Active,2022-06-30,2024-02-06,Website,5.0,2.0,3.0,1934.92,1992.44,967.46,2023-02-02,2025-01-12,0.0,2.0,2.0,3.0,0.0,710.0,413.0,0.0,2.5704225352112675,1984.94,4.0,4.0,0.0,0.0,0.0,0.0,1340,True,1
38,PartnerOrganization,Faith Partners,Faith Partners,,,PartnerOrganization,Mindanao,Philippines,faith-partners@faithpartners.ph,+63 929 536 9976,Active,2022-07-05,2025-10-28,WordOfMouth,9.0,5.0,4.0,5221.72,6792.7,1044.344,2023-01-10,2026-01-12,9.0,2.0,4.0,3.0,2.0,1098.0,48.0,1.0,2.9918032786885247,6131.01,7.0,5.0,6.0,101.0,4.0,2547.34,1335,True,0
39,InKindDonor,Ben Morris,,Ben,Morris,PartnerOrganization,Luzon,Philippines,ben-morris@globe.com.ph,+63 998 383 9540,Active,2022-07-10,2023-09-12,Event,5.0,3.0,2.0,1105.5700000000002,1943.22,368.52333333333337,2023-07-13,2025-06-15,0.0,1.0,4.0,3.0,2.0,703.0,259.0,0.0,2.59601706970128,1943.23,6.0,3.0,1.0,14.0,1.0,187.34,1330,True,1
40,InKindDonor,Lena Nash,,Lena,Nash,Local,Luzon,Philippines,lena-nash@globe.com.ph,+63 967 443 6238,Active,2022-07-15,2025-07-22,WordOfMouth,2.0,1.0,1.0,1633.61,1646.05,1633.61,2025-02-06,2025-07-22,0.0,1.0,2.0,2.0,0.0,166.0,222.0,0.0,4.397590361445783,1646.04,3.0,3.0,0.0,0.0,0.0,0.0,1325,True,1
41,SocialMediaAdvocate,Cleo Owens,,Cleo,Owens,Local,Luzon,Philippines,cleo-owens@globe.com.ph,+63 955 165 7797,Active,2022-07-20,2024-01-13,SocialMedia,4.0,1.0,3.0,1345.15,2166.7000000000003,1345.15,2023-06-08,2025-01-23,0.0,1.0,3.0,3.0,0.0,595.0,402.0,0.0,2.453781512605042,2166.7000000000003,3.0,4.0,2.0,16.0,2.0,1133.38,1320,True,1
42,MonetaryDonor,Finn Price,,Finn,Price,Local,Visayas,Philippines,finn-price@smart.com.ph,+63 995 888 1320,Active,2022-07-25,2025-12-31,Website,5.0,3.0,2.0,2115.54,2146.77,705.18,2024-10-24,2025-12-31,0.0,2.0,2.0,2.0,0.0,433.0,60.0,0.0,4.214780600461894,2145.85,5.0,4.0,0.0,0.0,0.0,0.0,1315,True,0
43,SocialMediaAdvocate,Hugo Ross,,Hugo,Ross,Local,Mindanao,Philippines,hugo-ross@pldt.net.ph,+63 976 871 7389,Active,2022-07-30,2023-08-12,Website,6.0,4.0,2.0,2607.55,3280.16,651.8875,2023-08-12,2025-10-23,0.0,0.0,4.0,3.0,2.0,803.0,129.0,0.0,2.727272727272727,2992.13,4.0,4.0,2.0,27.0,1.0,1247.85,1310,True,0
44,SocialMediaAdvocate,Vera Stone,,Vera,Stone,Local,Mindanao,Philippines,vera-stone@eastern.com.ph,+63 951 325 8999,Active,2022-08-04,2025-10-05,WordOfMouth,7.0,5.0,2.0,5361.139999999999,6064.91,1072.2279999999998,2023-11-19,2025-12-17,7.0,2.0,4.0,2.0,0.0,759.0,74.0,1.0,3.3662714097496704,5656.91,5.0,5.0,3.0,45.0,2.0,1529.82,1305,True,0
45,MonetaryDonor,Noel Turner,,Noel,Turner,Local,Luzon,Philippines,noel-turner@smart.com.ph,+63 945 960 8657,Active,2022-08-09,2024-10-25,SocialMedia,11.0,8.0,3.0,10201.19,11184.74,1275.14875,2023-04-09,2025-11-27,11.0,3.0,5.0,3.0,2.0,963.0,94.0,1.0,4.16926272066459,10773.88,7.0,6.0,2.0,28.0,2.0,1418.5500000000002,1300,True,0
